image_path,filename,category,width,height,format,mode,size_kb,md5_hash
data\raw\prohibitory\prohibitory_0_1767973311006.jpg,prohibitory_0_1767973311006.jpg,prohibitory,269,95,JPEG,RGB,11.1796875,4175d106defb9659e6d7e522ebb1a8b9
data\raw\prohibitory\prohibitory_100_1767976434202.jpg,prohibitory_100_1767976434202.jpg,prohibitory,99,140,JPEG,RGB,7.5009765625,17fe25fa729a05c5620e87d1b3e364f4
data\raw\prohibitory\prohibitory_101_1767976434695.jpg,prohibitory_101_1767976434695.jpg,prohibitory,162,105,JPEG,RGB,5.5,868375c1a8b2dec44c7139ed1d2f02fc
data\raw\prohibitory\prohibitory_102_1767976435185.jpg,prohibitory_102_1767976435185.jpg,prohibitory,140,140,JPEG,RGB,6.435546875,1fcc60af22f361f630b24945131ed221
data\raw\prohibitory\prohibitory_103_1767976435678.jpg,prohibitory_103_1767976435678.jpg,prohibitory,162,81,JPEG,RGB,4.5556640625,4a51e3ca9693fa16c62d0d744fdd5791
data\raw\prohibitory\prohibitory_104_1767976436171.jpg,prohibitory_104_1767976436171.jpg,prohibitory,162,108,JPEG,RGB,7.78125,f98cf2dd1c46a54f9b2cb992bdf804c0
data\raw\prohibitory\prohibitory_105_1767976436662.jpg,prohibitory_105_1767976436662.jpg,prohibitory,140,140,JPEG,RGB,8.9208984375,f1bff765ee55671edf2779a15ada619a
data\raw\prohibitory\prohibitory_106_1767976437165.jpg,prohibitory_106_1767976437165.jpg,prohibitory,100,140,JPEG,RGB,9.5283203125,0e3e6f3ce432c715667d62a4f8b4e9fa
data\raw\prohibitory\prohibitory_10_1767269386901.jpg,prohibitory_10_1767269386901.jpg,prohibitory,120,73,JPEG,RGB,7.3369140625,f4be9200f63d5b51d407916332c4aacf
data\raw\prohibitory\prohibitory_10_1767973317562.jpg,prohibitory_10_1767973317562.jpg,prohibitory,102,140,JPEG,RGB,13.896484375,390b56a1a7b01598dae6ecd3dcdfd3c1
data\raw\prohibitory\prohibitory_10_1767976254648.jpg,prohibitory_10_1767976254648.jpg,prohibitory,162,81,JPEG,RGB,9.6748046875,1ebe2d8d0fdc66bc58a4c6b06059f568
data\raw\prohibitory\prohibitory_11_1767269387961.jpg,prohibitory_11_1767269387961.jpg,prohibitory,120,213,JPEG,RGB,17.2021484375,10f4a83ef4cc06692d27f1e4d883e5e4
data\raw\prohibitory\prohibitory_11_1767973318133.jpg,prohibitory_11_1767973318133.jpg,prohibitory,99,140,JPEG,RGB,14.0986328125,685f883f48472377f1e3cba349c387cf
